Town,Reference Number,Exempt Code,Exempt Code Description,Address,Owner or Facility,Acres,Volume and Page,Land Assessment,Building Assessment,Total Assessment,OPM Assessment,Location
Barkhamsted,00081800,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00057 WEST RIVER RD,CONNECTICUT STATE OF,6.7,97/824,"$62,730",$0,"$62,730","$62,730",POINT (-72.995137246 41.919765999)
East Haven,T9053000,BFBX,,00006 SOUTH END RD,TWEED NEW HAVEN AIRPORT AUTHORITY,8.6,2208/108,"$820,050",$0,"$820,050","$820,050",POINT (-72.889497307 41.25121516)
Hamden,2124042000000,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00631 FITCH ST,CONNECTICUT STATE OF,0.92,1657/114,"$43,190","$380,730","$423,920","$423,920",POINT (-72.941247007 41.336774985)
Deep River,00138310,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 WESTBROOK RD,STATE OF CONNECTICUT,0.11,157/782,$980,$0,$980,$980,POINT (-72.483442064 41.350789655)
Andover,253,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 JUROVATY RD,CONNECTICUT STATE OF,120.08,30/484,"$162,190",$0,"$162,190","$162,190",POINT (-72.390740944 41.716970224)
Hartford,224431012,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00170 CAPITOL AVE,STATE OF CONN,3.6,1112/342,"$5,664,540",$0,"$5,664,540","$5,664,540",POINT (-72.683583029 41.765800017)
Harwinton,550,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00008 ROUTE,CONNECTICUT STATE OF,1.7,58/58,"$44,940",$0,"$44,940","$44,940",POINT (-73.06991 41.76965)
Greenwich 1,08-4624,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 INDIAN MILL ROAD,CONNECTICUT STATE OF,38.16,3622/171,"$801,360",$0,"$801,360","$801,360",POINT (-73.646786184 41.109002147)
Haddam,H0243800,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 HUBBARD RD,CONN STATE OF MUNICIPAL DIV,0.02,0/0,$20,$0,$20,$20,POINT (-72.538820016 41.464985697)
East Haven,D0139500,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00542 NORTH HIGH ST,STATE OF CONNECTICUT,1.22,700/30,"$101,640","$319,270","$420,910","$420,910",POINT (-72.865047042 41.295794016)
Harwinton,580,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SOUTH RD,CONNECTICUT STATE OF,36.8,93/293,"$6,190",$0,"$6,190","$6,190",POINT (-73.05344813 41.738363445)
Canterbury,00182400,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 WESTMINSTER RD,CONNECTICUT STATE OF,3,49/489,"$28,300",$0,"$28,300","$28,300",POINT (-72.013721806 41.706144002)
