Date,Positive COVID-19 tests - daily,Deaths - daily,Tests - daily,Positive COVID-19 tests - cumulative,Deaths - cumulative,Tests - cumulative
04/20/2022,"1,063",5,"13,924","756,368","10,867","15,910,581"
01/05/2022,"10,137",35,"42,629","605,453","9,525","14,098,999"
10/14/2021,581,0,"29,867","400,022","8,747","11,757,802"
06/30/2021,76,0,"11,609","350,020","8,358","9,788,955"
11/16/2021,973,8,"32,464","416,289","8,898","12,463,894"
10/17/2020,361,4,"10,735","64,988","4,598","2,262,959"
02/28/2022,387,7,"18,450","731,008","10,764","15,287,516"
09/09/2020,216,2,"27,453","54,305","4,508","1,452,822"
05/22/2020,319,31,"7,253","41,249","3,840","229,997"
12/18/2020,"2,338",43,"36,729","168,488","5,801","4,355,910"
03/04/2022,273,4,"13,551","732,205","10,779","15,348,260"
05/06/2021,313,7,"24,755","343,714","8,252","9,027,802"
04/13/2020,651,95,"1,605","17,487",975,"54,134"
03/25/2020,479,9,"1,957","2,907",35,"14,370"
11/27/2020,"2,157",25,"32,393","123,041","5,121","3,645,535"
03/23/2021,"1,412",5,"52,099","303,563","7,980","7,633,844"
05/03/2021,538,6,"38,354","342,592","8,235","8,939,037"
03/28/2020,457,15,"1,331","4,669",61,"20,189"
08/26/2020,151,0,"20,622","52,372","4,494","1,222,092"
04/22/2022,881,0,"11,213","758,206","10,869","15,935,600"
08/11/2021,725,5,"21,364","362,927","8,404","10,319,789"
04/09/2020,973,92,"2,577","14,779",640,"46,865"
04/06/2020,"1,045",60,"2,800","11,543",385,"38,399"
05/02/2021,312,6,"10,862","342,054","8,229","8,900,683"
07/04/2021,29,0,"3,012","350,210","8,361","9,816,001"
05/09/2021,181,4,"7,805","344,476","8,266","9,068,663"
03/03/2022,272,6,"15,074","731,932","10,775","15,334,709"
12/19/2020,"1,488",39,"19,053","169,976","5,840","4,374,963"
05/16/2020,202,49,"3,721","38,759","3,588","191,728"
09/01/2020,162,0,"20,554","53,147","4,500","1,317,277"
03/14/2022,388,2,"16,135","734,860","10,805","15,464,750"
02/21/2022,475,8,"15,214","728,607","10,724","15,189,757"
01/24/2021,"1,028",32,"20,756","245,984","7,156","5,674,324"
12/03/2021,"1,942",4,"31,580","438,179","9,002","12,913,056"
04/19/2022,"1,019",2,"15,222","755,305","10,862","15,896,657"
06/23/2022,0,0,0,"822,336","11,034","16,603,751"
05/25/2020,87,22,"2,268","41,582","3,936","238,250"
05/24/2020,107,43,"2,573","41,495","3,914","235,982"
06/19/2022,401,1,"4,143","821,013","11,034","16,584,588"
