Docket or petition number,Town,Address,User,Tower type,Antenna height,Tower height,Antennas,5G services,Backup power type
Cromwell,*** Main Street,Verizon,monopole,,125,,,propane generator,
East Hartford,**** Forbes Street,Verizon,monopole,108,130,,,,
Bristol,*** Farmington Avenue,T-Mobile,monopole,113,120,,,,
Darien,*** Ledge Road,AT&T,monopole,88,120,,,,
,Bethel,** Spring Hill Lane,Verizon,monopole,92,125,,,
Bridgeport,*** Kaechele Place,AT&T,monopole,154,150,,,,
Canton,*** Cherry Brook Road,AT&T,monopole,138,150,,,,
,Beacon Falls,*** Rimmon Hill Road,Verizon,monopole,148,170,,,
Danbury,** Padanaram Road,T-Mobile,monopole,80,80,,,,
Petition No. 557,Beacon Falls,*** Rimmon Hill Road,AT&T Wireless,monopole,170,170,,,
Bloomfield,** Brewer Drive,SCLP,monopole,100,120,,,,
,Ansonia,** Birchwood Drive,MetroPCS,guyed-lattice,56,60,,,
,Andover,*** Bunker Hill Road,T-Mobile,monopole,148,180,,,
Durham,***R Old Blue Hills Road,T-Mobile,monopole,73,120,,,diesel generator,15-kW
East Haddam,*** Parker Road,Cingular,guyed-lattice,188,300,,,,
East Hampton,* Public Works Drive,Nextell,monopole,157,180,,,,
Canterbury,Colburn Road,Verizon,guyed-lattice,105,110,,,20kW diesel generator,
Cromwell,*** West Street,Nextel,monopole,75,77,,,,
Branford,***-*** North Main Street,AT&T,monopole,112,147,,,,
Bozrah,Polly Lane,DISH,guyed Lattice,127,187,,yes,,
Clinton,** Meadow Road,Verizon,self-support lattice,162,195,,,diesel generator,
Colchester,** Munn Road,BAM,self-support lattice,180,320,,,,
Cornwall,Mohawk Mountain Road,AT&T,self-support lattice,,180,,,,
Branford,*** Brushy Plain Road,DISH,monopole,103,150,,yes,,
Coventry,**** Main Street,Verizon,self-support lattice,150,190,,,,
,Ashford,** Janoski Road,Cingular,self-support lattice,140,190,,,
East Haddam,*** Parker Road,Century Cable Manag. Crp,guyed-lattice,,.,,,,
Cheshire,**** Highland Avenue,T-Mobile,silo,57,78,,yes,,
Bristol,*** Terryville Avenue,Verizon,monopole,140,169,,,,
Branford,*** West Main Street,Sprint Nextel,monopole,120,130,,,,
,Berlin,*** Kensington Road,Verizon,monopole,160,190,,,
Brookfield,** Carmen Hill Road,Sprint Nextel,guyed-lattice,256,455,,,,
,Bethany,* Meyers Road,Verizon,self-support lattice,180,338,,yes,
,Bethel,** Spring Hill Lane,T-Mobile,monopole,101,125,,,
